accession,organism,replicon_name,replicon_type,replicon_length,mean_orbit_ratio,palindrome_fraction,rc_fixed_fraction,shift_sym_fraction
GCF_051013815.1,Erwinia aphidicola,NZ_CP142228.1,unknown,4496733,1.0,0.0,0.0,0.0
GCF_051013815.1,Erwinia aphidicola,NZ_CP142229.1,unknown,12515,1.0,0.0,0.0,0.0
GCF_963575375.1,Escherichia coli,NZ_OY754371.1,unknown,5345520,1.0,0.0,0.0,0.0
GCF_963575375.1,Escherichia coli,NZ_OY754372.1,unknown,103455,1.0,0.0,0.0,0.0
GCF_963575375.1,Escherichia coli,NZ_OY754373.1,unknown,94035,1.0,0.0,0.0,0.0
GCF_963575375.1,Escherichia coli,NZ_OY754374.1,unknown,76451,1.0,0.0,0.0,0.0
GCF_963575375.1,Escherichia coli,NZ_OY754375.1,unknown,3082,1.0,0.0,0.0,0.0
GCF_963575375.1,Escherichia coli,NZ_OY754376.1,unknown,2442,1.0,0.0,0.0,0.0
GCF_008375335.1,Escherichia coli,NZ_CP041627.1,unknown,4790657,1.0,0.0,0.0,0.0
GCF_021491715.1,Staphylococcus aureus,NZ_CP090870.1,unknown,2782272,1.0,0.0,0.0,0.0
GCF_900638215.1,Nocardiopsis dassonvillei,NZ_LR134501.1,unknown,6541269,1.0,0.0,0.0,0.0
GCF_002557815.1,Listeria monocytogenes,NZ_CP023754.1,unknown,3027995,1.0,0.0,0.0,0.0
GCF_024749385.1,Acinetobacter baumannii,NZ_CP087304.1,unknown,4012228,1.0,0.0,0.0,0.0
GCF_024749385.1,Acinetobacter baumannii,NZ_CP087306.1,unknown,8731,1.0,0.0,0.0,0.0
GCF_024749385.1,Acinetobacter baumannii,NZ_CP087307.1,unknown,2359,1.0,0.0,0.0,0.0
GCF_024749385.1,Acinetobacter baumannii,NZ_CP087305.1,unknown,9083,1.0,0.0,0.0,0.0
GCF_024749385.1,Acinetobacter baumannii,NZ_CP087308.1,unknown,2097,1.0,0.0,0.0,0.0
GCF_030440475.1,Porphyromonas gingivalis,NZ_CP098924.1,unknown,2515718,1.0,0.0,0.0,0.0
GCF_024126355.1,Pseudomonas aeruginosa,NZ_CP099797.1,unknown,6217942,1.0,0.0,0.0,0.0
GCF_008124185.1,Escherichia coli O16:H48,NZ_CP043191.1,unknown,4656753,1.0,0.0,0.0,0.0
GCF_008124185.1,Escherichia coli O16:H48,NZ_CP043192.1,unknown,165649,1.0,0.0,0.0,0.0
GCF_965230075.1,Maridesulfovibrio sp.,NZ_OZ245945.1,unknown,4652121,1.0,0.0,0.0,0.0
GCF_004006235.1,Agromyces sp. LHK192,NZ_CP034753.1,unknown,4088319,1.0,0.0,0.0,0.0
GCF_045709885.1,Xanthomonas campestris pv. campestris,NZ_CP155934.1,unknown,5044828,1.0,0.0,0.0,0.0
GCF_023066825.1,Pseudomonas aeruginosa,NZ_CP090647.1,unknown,6549122,1.0,0.0,0.0,0.0
GCF_037640115.1,Campylobacter jejuni,NZ_CP148175.1,unknown,1651184,1.0,0.0,0.0,0.0
GCF_023958495.2,Pseudomonas aeruginosa,NZ_CP113532.1,unknown,6432043,1.0,0.0,0.0,0.0
GCF_019342945.1,Streptococcus pyogenes,NZ_CP049690.1,unknown,1866583,1.0,0.0,0.0,0.0
GCF_025996075.1,Escherichia coli,NZ_AP026106.1,unknown,5324174,1.0,0.0,0.0,0.0
GCF_025996075.1,Escherichia coli,NZ_AP026107.1,unknown,83529,1.0,0.0,0.0,0.0
GCF_018279185.1,Klebsiella pneumoniae,NZ_CP047595.1,unknown,5331308,1.0,0.0,0.0,0.0
GCF_018279185.1,Klebsiella pneumoniae,NZ_CP047597.1,unknown,70307,1.0,0.0,0.0,0.0
GCF_018279185.1,Klebsiella pneumoniae,NZ_CP047596.1,unknown,192347,1.0,0.0,0.0,0.0
GCF_049930715.1,Lacticaseibacillus paracasei,NZ_CP186551.1,unknown,3110432,1.0,0.0,0.0,0.0
GCF_023078415.1,Limosilactobacillus reuteri,NZ_CP095735.1,unknown,1972516,1.0,0.0,0.0,0.0
GCF_016026415.1,Corynebacterium amycolatum,NZ_CP065628.1,unknown,2802624,1.0,0.0,0.0,0.0
GCF_940677205.1,[Clostridium] colinum,NZ_OW712331.1,unknown,2035557,1.0,0.0,0.0,0.0
GCF_050883685.1,Enterobacter hormaechei,NZ_CP175732.1,unknown,4977376,1.0,0.0,0.0,0.0
GCF_050883685.1,Enterobacter hormaechei,NZ_CP175733.1,unknown,309378,1.0,0.0,0.0,0.0
GCF_050883685.1,Enterobacter hormaechei,NZ_CP175734.1,unknown,49894,1.0,0.0,0.0,0.0
GCF_024138795.1,Proteus mirabilis,NZ_CP071773.1,unknown,3833071,1.0,0.0,0.0,0.0
GCF_024138795.1,Proteus mirabilis,NZ_CP071774.1,unknown,4875,1.0,0.0,0.0,0.0
GCF_024138795.1,Proteus mirabilis,NZ_CP071775.1,unknown,2683,1.0,0.0,0.0,0.0
GCF_024138795.1,Proteus mirabilis,NZ_CP071776.1,unknown,2259,1.0,0.0,0.0,0.0
GCF_020883495.1,Shinella zoogloeoides,NZ_CP086610.1,unknown,3991891,1.0,0.0,0.0,0.0
GCF_020883495.1,Shinella zoogloeoides,NZ_CP086611.1,unknown,372552,1.0,0.0,0.0,0.0
GCF_020883495.1,Shinella zoogloeoides,NZ_CP086612.1,unknown,340407,1.0,0.0,0.0,0.0
GCF_020883495.1,Shinella zoogloeoides,NZ_CP086613.1,unknown,108510,1.0,0.0,0.0,0.0
GCF_020883495.1,Shinella zoogloeoides,NZ_CP086614.1,unknown,34705,1.0,0.0,0.0,0.0
GCF_050216475.1,Proteus mirabilis,NZ_CP189756.1,unknown,4081391,1.0,0.0,0.0,0.0
GCF_027474865.2,Streptococcus gallolyticus,NZ_CP113954.2,unknown,2392629,1.0,0.0,0.0,0.0
GCF_013635015.1,Klebsiella grimontii,NZ_CP058180.1,unknown,5992775,1.0,0.0,0.0,0.0
GCF_013635015.1,Klebsiella grimontii,NZ_CP058181.1,unknown,133995,1.0,0.0,0.0,0.0
GCF_013635015.1,Klebsiella grimontii,NZ_CP058182.1,unknown,103340,1.0,0.0,0.0,0.0
GCF_013635015.1,Klebsiella grimontii,NZ_CP058183.1,unknown,95921,1.0,0.0,0.0,0.0
GCF_013635015.1,Klebsiella grimontii,NZ_CP058184.1,unknown,67313,1.0,0.0,0.0,0.0
GCF_013635015.1,Klebsiella grimontii,NZ_CP058185.1,unknown,3514,1.0,0.0,0.0,0.0
GCF_013635015.1,Klebsiella grimontii,NZ_CP058186.1,unknown,3294,1.0,0.0,0.0,0.0
GCF_041463595.1,Xanthomonas axonopodis pv. cyamopsidis,NZ_CP167209.1,unknown,4861185,1.0,0.0,0.0,0.0
GCF_041463595.1,Xanthomonas axonopodis pv. cyamopsidis,NZ_CP167210.1,unknown,120567,1.0,0.0,0.0,0.0
GCF_041463595.1,Xanthomonas axonopodis pv. cyamopsidis,NZ_CP167211.1,unknown,51386,1.0,0.0,0.0,0.0
GCF_002953955.1,Corynebacterium pseudotuberculosis,NZ_CP026524.1,unknown,2337541,1.0,0.0,0.0,0.0
GCF_046529115.1,Klebsiella pneumoniae,NZ_CP160495.1,unknown,5409513,1.0,0.0,0.0,0.0
GCF_046529115.1,Klebsiella pneumoniae,NZ_CP160496.1,unknown,299930,1.0,0.0,0.0,0.0
GCF_046529115.1,Klebsiella pneumoniae,NZ_CP160497.1,unknown,55263,1.0,0.0,0.0,0.0
GCF_046529115.1,Klebsiella pneumoniae,NZ_CP160498.1,unknown,39710,1.0,0.0,0.0,0.0
GCF_046742005.1,Staphylococcus aureus,NZ_CP123142.1,unknown,2772116,1.0,0.0,0.0,0.0
GCF_046742005.1,Staphylococcus aureus,NZ_CP123143.1,unknown,27268,1.0,0.0,0.0,0.0
GCF_045209705.1,Streptomyces griseus,NZ_CP109279.1,unknown,8315763,1.0,0.0,0.0,0.0
GCF_049949155.1,Spiroplasma endosymbiont of Glossina fuscipes fuscipes,NZ_CP188113.1,unknown,1418152,1.0,0.0,0.0,0.0
GCF_049949155.1,Spiroplasma endosymbiont of Glossina fuscipes fuscipes,NZ_CP188112.1,unknown,16375,1.0,0.0,0.0,0.0
GCF_049949155.1,Spiroplasma endosymbiont of Glossina fuscipes fuscipes,NZ_CP188114.1,unknown,12717,1.0,0.0,0.0,0.0
GCF_049949155.1,Spiroplasma endosymbiont of Glossina fuscipes fuscipes,NZ_CP188115.1,unknown,6460,1.0,0.0,0.0,0.0
GCF_046619575.1,Klebsiella pneumoniae,NZ_CP176888.1,unknown,5453196,1.0,0.0,0.0,0.0
GCF_046619575.1,Klebsiella pneumoniae,NZ_CP176889.1,unknown,223399,1.0,0.0,0.0,0.0
GCF_964026865.1,Wolbachia endosymbiont (group A) of Clivina fossor,NZ_OZ034707.1,unknown,1766692,1.0,0.0,0.0,0.0
GCF_050428545.1,Enterococcus faecalis,NZ_CP191305.1,unknown,3014988,1.0,0.0,0.0,0.0
GCF_050428545.1,Enterococcus faecalis,NZ_CP191306.1,unknown,71942,1.0,0.0,0.0,0.0
GCF_050428545.1,Enterococcus faecalis,NZ_CP191307.1,unknown,60652,1.0,0.0,0.0,0.0
GCF_050428545.1,Enterococcus faecalis,NZ_CP191308.1,unknown,31081,1.0,0.0,0.0,0.0
GCF_047304505.1,Prochlorococcus sp. MIT 1318,NZ_CP138958.1,unknown,2609429,1.0,0.0,0.0,0.0
GCF_022871025.1,Conchiformibius kuhniae,NZ_CP091521.1,unknown,2151969,1.0,0.0,0.0,0.0
GCF_029773405.1,Aeromonas veronii,NZ_CP121846.1,unknown,4536836,1.0,0.0,0.0,0.0
GCF_048833675.1,Bacillus cereus,NZ_CP184769.1,unknown,5355367,1.0,0.0,0.0,0.0
GCF_016127215.1,Haemophilus parainfluenzae,NZ_CP065991.1,unknown,2141704,1.0,0.0,0.0,0.0
GCF_013349045.1,Klebsiella pneumoniae,NZ_CP054768.1,unknown,5447537,1.0,0.0,0.0,0.0
GCF_013349045.1,Klebsiella pneumoniae,NZ_CP054769.1,unknown,195034,1.0,0.0,0.0,0.0
GCF_013349045.1,Klebsiella pneumoniae,NZ_CP054770.1,unknown,133772,1.0,0.0,0.0,0.0
GCF_013349045.1,Klebsiella pneumoniae,NZ_CP054771.1,unknown,87095,1.0,0.0,0.0,0.0
GCF_013349045.1,Klebsiella pneumoniae,NZ_CP054772.1,unknown,11970,1.0,0.0,0.0,0.0
GCF_013349045.1,Klebsiella pneumoniae,NZ_CP054773.1,unknown,5596,1.0,0.0,0.0,0.0
GCF_001679685.1,Pseudomonas aeruginosa,NZ_CP016214.1,unknown,6430493,1.0,0.0,0.0,0.0
GCF_001679685.1,Pseudomonas aeruginosa,NZ_CP016215.1,unknown,423017,1.0,0.0,0.0,0.0
GCF_039851965.1,Guptibacillus hwajinpoensis,NZ_CP156674.1,unknown,4060521,1.0,0.0,0.0,0.0
GCF_039851965.1,Guptibacillus hwajinpoensis,NZ_CP156675.1,unknown,354787,1.0,0.0,0.0,0.0
GCF_039851965.1,Guptibacillus hwajinpoensis,NZ_CP156676.1,unknown,16075,1.0,0.0,0.0,0.0
GCF_000750335.1,Salmonella enterica subsp. enterica serovar Enteritidis,NZ_CP009092.1,unknown,4709890,1.0,0.0,0.0,0.0
GCF_053667615.1,Vagococcus sp. JNUCC 83,NZ_CM132204.1,unknown,2472896,1.0,0.0,0.0,0.0
GCF_053667615.1,Vagococcus sp. JNUCC 83,NZ_JBSJXX010000001.1,unknown,13918,1.0,0.0,0.0,0.0
GCF_053667615.1,Vagococcus sp. JNUCC 83,NZ_JBSJXX010000003.1,unknown,15762,1.0,0.0,0.0,0.0
GCF_053667615.1,Vagococcus sp. JNUCC 83,NZ_JBSJXX010000004.1,unknown,4126,1.0,0.0,0.0,0.0
GCF_053667615.1,Vagococcus sp. JNUCC 83,NZ_JBSJXX010000005.1,unknown,5035,1.0,0.0,0.0,0.0
GCF_053667615.1,Vagococcus sp. JNUCC 83,NZ_JBSJXX010000006.1,unknown,4863,1.0,0.0,0.0,0.0
GCF_029371985.1,Bacillus velezensis,NZ_CP102603.1,unknown,3850373,1.0,0.0,0.0,0.0
GCF_017164755.1,Escherichia coli O157:H7,NZ_CP062778.1,unknown,5539376,1.0,0.0,0.0,0.0
GCF_017164755.1,Escherichia coli O157:H7,NZ_CP062779.1,unknown,90783,1.0,0.0,0.0,0.0
GCF_020162135.1,Zymomonas mobilis,NZ_CP083898.1,unknown,2058737,1.0,0.0,0.0,0.0
GCF_020162135.1,Zymomonas mobilis,NZ_CP083902.1,unknown,32791,1.0,0.0,0.0,0.0
GCF_020162135.1,Zymomonas mobilis,NZ_CP083901.1,unknown,33006,1.0,0.0,0.0,0.0
GCF_020162135.1,Zymomonas mobilis,NZ_CP083900.1,unknown,36494,1.0,0.0,0.0,0.0
GCF_020162135.1,Zymomonas mobilis,NZ_CP083899.1,unknown,43907,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010505.1,unknown,6077833,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010510.1,unknown,586164,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010509.1,unknown,47003,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010514.1,unknown,42985,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010517.1,unknown,37743,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010518.1,unknown,36410,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010502.1,unknown,27836,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010504.1,unknown,22114,1.0,0.0,0.0,0.0
GCF_000019725.1,Methylobacterium radiotolerans JCM 2831,NC_010507.1,unknown,21022,1.0,0.0,0.0,0.0
GCF_032598635.1,Pasteurella multocida,NZ_CP059703.1,unknown,2476550,1.0,0.0,0.0,0.0
GCF_019456655.1,Mycolicibacterium diernhoferi,NZ_CP080332.1,unknown,5998503,1.0,0.0,0.0,0.0
GCF_029277985.1,Providencia stuartii,NZ_CP119546.1,unknown,4396945,1.0,0.0,0.0,0.0
GCF_029277985.1,Providencia stuartii,NZ_CP119547.1,unknown,207362,1.0,0.0,0.0,0.0
GCF_029277985.1,Providencia stuartii,NZ_CP119551.1,unknown,2683,1.0,0.0,0.0,0.0
GCF_029277985.1,Providencia stuartii,NZ_CP119550.1,unknown,3123,1.0,0.0,0.0,0.0
GCF_029277985.1,Providencia stuartii,NZ_CP119549.1,unknown,3945,1.0,0.0,0.0,0.0
GCF_029277985.1,Providencia stuartii,NZ_CP119548.1,unknown,8132,1.0,0.0,0.0,0.0
GCF_001051625.3,Salmonella enterica subsp. enterica serovar Newport str. VA_R100804798,NZ_CP140750.2,unknown,4881897,1.0,0.0,0.0,0.0
GCF_030534175.1,Staphylococcus aureus,NZ_CP130545.1,unknown,2735892,1.0,0.0,0.0,0.0
GCF_030534175.1,Staphylococcus aureus,NZ_CP130546.1,unknown,42533,1.0,0.0,0.0,0.0
GCF_000243075.1,Oceanimonas sp. GK1,NC_016745.1,unknown,3514537,1.0,0.0,0.0,0.0
GCF_000243075.1,Oceanimonas sp. GK1,NC_016746.1,unknown,8462,1.0,0.0,0.0,0.0
GCF_000243075.1,Oceanimonas sp. GK1,NC_016747.1,unknown,4245,1.0,0.0,0.0,0.0
GCF_020683125.1,Erwinia rhapontici,NZ_CP085627.1,unknown,5057383,1.0,0.0,0.0,0.0
GCF_020683125.1,Erwinia rhapontici,NZ_CP085628.1,unknown,107282,1.0,0.0,0.0,0.0
GCF_025151215.1,Parabacteroides merdae ATCC 43184,NZ_CP102286.1,unknown,4377447,1.0,0.0,0.0,0.0
GCF_050632345.1,Burkholderia contaminans,NZ_CP192563.1,unknown,3611841,1.0,0.0,0.0,0.0
GCF_050632345.1,Burkholderia contaminans,NZ_CP192564.1,unknown,3146071,1.0,0.0,0.0,0.0
GCF_050632345.1,Burkholderia contaminans,NZ_CP192565.1,unknown,1249576,1.0,0.0,0.0,0.0
GCF_050632345.1,Burkholderia contaminans,NZ_CP192566.1,unknown,124465,1.0,0.0,0.0,0.0
GCF_047302685.1,Enterobacter hormaechei subsp. xiangfangensis,NZ_CP129988.1,unknown,4728323,1.0,0.0,0.0,0.0
GCF_047302685.1,Enterobacter hormaechei subsp. xiangfangensis,NZ_CP129991.1,unknown,106596,1.0,0.0,0.0,0.0
GCF_047302685.1,Enterobacter hormaechei subsp. xiangfangensis,NZ_CP129989.1,unknown,301990,1.0,0.0,0.0,0.0
GCF_047302685.1,Enterobacter hormaechei subsp. xiangfangensis,NZ_CP129990.1,unknown,274040,1.0,0.0,0.0,0.0
GCF_013364155.1,Streptomyces sp. NA02950,NZ_CP054916.1,unknown,9619720,1.0,0.0,0.0,0.0
GCF_013364155.1,Streptomyces sp. NA02950,NZ_CP054917.1,unknown,151949,1.0,0.0,0.0,0.0
GCF_002356015.1,Mycobacterium tuberculosis,NZ_AP017901.1,unknown,4380602,1.0,0.0,0.0,0.0
GCF_024760365.1,Mesomycoplasma hyorhinis,NZ_CP102736.1,unknown,844388,1.0,0.0,0.0,0.0
GCF_002848365.2,Legionella sainthelensi,NZ_CP025491.2,unknown,4333322,1.0,0.0,0.0,0.0
GCF_002848365.2,Legionella sainthelensi,NZ_CP025493.2,unknown,113526,1.0,0.0,0.0,0.0
GCF_002848365.2,Legionella sainthelensi,NZ_CP025492.2,unknown,150432,1.0,0.0,0.0,0.0
GCF_003408615.1,Klebsiella pneumoniae,NZ_CP031577.1,unknown,5242834,1.0,0.0,0.0,0.0
GCF_003408615.1,Klebsiella pneumoniae,NZ_CP031582.1,unknown,206229,1.0,0.0,0.0,0.0
GCF_003408615.1,Klebsiella pneumoniae,NZ_CP031584.1,unknown,164082,1.0,0.0,0.0,0.0
GCF_003408615.1,Klebsiella pneumoniae,NZ_CP031578.1,unknown,60477,1.0,0.0,0.0,0.0
GCF_003408615.1,Klebsiella pneumoniae,NZ_CP031579.1,unknown,44231,1.0,0.0,0.0,0.0
GCF_003408615.1,Klebsiella pneumoniae,NZ_CP031580.1,unknown,86800,1.0,0.0,0.0,0.0
GCF_003408615.1,Klebsiella pneumoniae,NZ_CP031581.1,unknown,71335,1.0,0.0,0.0,0.0
GCF_003408615.1,Klebsiella pneumoniae,NZ_CP031583.1,unknown,198719,1.0,0.0,0.0,0.0
GCF_048388455.1,Enterobacter hormaechei,NZ_CP183032.1,unknown,4890492,1.0,0.0,0.0,0.0
GCF_048388455.1,Enterobacter hormaechei,NZ_CP183033.1,unknown,108022,1.0,0.0,0.0,0.0
GCF_048388455.1,Enterobacter hormaechei,NZ_CP183034.1,unknown,46161,1.0,0.0,0.0,0.0
GCF_004028015.1,Mycobacteroides abscessus,NZ_CP034181.1,unknown,5067231,1.0,0.0,0.0,0.0
GCF_004028015.1,Mycobacteroides abscessus,NZ_CP034180.1,unknown,15203,1.0,0.0,0.0,0.0
GCF_016025435.1,Salmonella enterica subsp. enterica serovar Albany,NZ_CP065572.1,unknown,4887211,1.0,0.0,0.0,0.0
GCF_016025435.1,Salmonella enterica subsp. enterica serovar Albany,NZ_CP065573.1,unknown,84218,1.0,0.0,0.0,0.0
GCF_018808925.1,Acinetobacter baumannii,NZ_CP048849.1,unknown,4173759,1.0,0.0,0.0,0.0
GCF_018808925.1,Acinetobacter baumannii,NZ_CP048851.1,unknown,132632,1.0,0.0,0.0,0.0
GCF_018808925.1,Acinetobacter baumannii,NZ_CP048850.1,unknown,2277,1.0,0.0,0.0,0.0
GCF_001022135.1,Phytobacter ursingii,NZ_CP011602.1,unknown,5529134,1.0,0.0,0.0,0.0
GCF_001022135.1,Phytobacter ursingii,NZ_CP011600.1,unknown,215092,1.0,0.0,0.0,0.0
GCF_001022135.1,Phytobacter ursingii,NZ_CP011601.1,unknown,295619,1.0,0.0,0.0,0.0
GCF_001022135.1,Phytobacter ursingii,NZ_CP011599.1,unknown,82986,1.0,0.0,0.0,0.0
GCF_001022135.1,Phytobacter ursingii,NZ_CP011598.1,unknown,43621,1.0,0.0,0.0,0.0
GCF_013167255.1,Escherichia coli O55:H7,NZ_CP038295.1,unknown,5219269,1.0,0.0,0.0,0.0
GCF_013167255.1,Escherichia coli O55:H7,NZ_CP038296.1,unknown,5423,1.0,0.0,0.0,0.0
GCF_013167255.1,Escherichia coli O55:H7,NZ_CP038297.1,unknown,6211,1.0,0.0,0.0,0.0
GCF_013167255.1,Escherichia coli O55:H7,NZ_CP038298.1,unknown,66022,1.0,0.0,0.0,0.0
GCF_013167255.1,Escherichia coli O55:H7,NZ_CP038299.1,unknown,70894,1.0,0.0,0.0,0.0
GCF_009796745.1,Paraglaciecola sp. L1A13,NZ_CP047024.1,unknown,4965707,1.0,0.0,0.0,0.0
GCF_050847325.1,Limosilactobacillus fermentum,NZ_CP193773.1,unknown,2102802,1.0,0.0,0.0,0.0
GCF_050847325.1,Limosilactobacillus fermentum,NZ_CP193774.1,unknown,28377,1.0,0.0,0.0,0.0
GCF_049544885.1,Mannheimia haemolytica,NZ_CP186707.1,unknown,2705086,1.0,0.0,0.0,0.0
GCF_050627395.1,Paraburkholderia fungorum,NZ_CP192495.1,unknown,4729161,1.0,0.0,0.0,0.0
GCF_050627395.1,Paraburkholderia fungorum,NZ_CP192496.1,unknown,3508453,1.0,0.0,0.0,0.0
GCF_050627395.1,Paraburkholderia fungorum,NZ_CP192497.1,unknown,647572,1.0,0.0,0.0,0.0
GCF_050627395.1,Paraburkholderia fungorum,NZ_CP192494.1,unknown,437225,1.0,0.0,0.0,0.0
GCF_014168675.1,Escherichia coli,NZ_AP021933.1,unknown,4928821,1.0,0.0,0.0,0.0
GCF_014168675.1,Escherichia coli,NZ_AP021934.1,unknown,105973,1.0,0.0,0.0,0.0
GCF_052381035.1,Bacillus spizizenii ATCC 6633 = JCM 2499,NZ_CM126354.1,unknown,4045594,1.0,0.0,0.0,0.0
GCF_052381035.1,Bacillus spizizenii ATCC 6633 = JCM 2499,NZ_JBQSYZ010000002.1,unknown,5017,1.0,0.0,0.0,0.0
GCF_009884375.1,Salmonella enterica subsp. enterica serovar Typhimurium,NZ_CP041976.1,unknown,4957978,1.0,0.0,0.0,0.0
GCF_009884375.1,Salmonella enterica subsp. enterica serovar Typhimurium,NZ_CP041974.1,unknown,113858,1.0,0.0,0.0,0.0
GCF_009884375.1,Salmonella enterica subsp. enterica serovar Typhimurium,NZ_CP041975.1,unknown,19388,1.0,0.0,0.0,0.0
GCF_001663755.1,Loigolactobacillus backii,NZ_CP014899.1,unknown,2664097,1.0,0.0,0.0,0.0
GCF_001663755.1,Loigolactobacillus backii,NZ_CP014900.1,unknown,28997,1.0,0.0,0.0,0.0
GCF_001663755.1,Loigolactobacillus backii,NZ_CP014901.1,unknown,22560,1.0,0.0,0.0,0.0
GCF_001663755.1,Loigolactobacillus backii,NZ_CP014902.1,unknown,11878,1.0,0.0,0.0,0.0
GCF_001663755.1,Loigolactobacillus backii,NZ_CP014903.1,unknown,65694,1.0,0.0,0.0,0.0
GCF_001663755.1,Loigolactobacillus backii,NZ_CP014904.1,unknown,33270,1.0,0.0,0.0,0.0
GCF_001663755.1,Loigolactobacillus backii,NZ_CP014905.1,unknown,12076,1.0,0.0,0.0,0.0
GCF_001663755.1,Loigolactobacillus backii,NZ_CP014906.1,unknown,7031,1.0,0.0,0.0,0.0
GCF_006874725.1,Klebsiella aerogenes,NZ_CP035466.1,unknown,5062651,1.0,0.0,0.0,0.0
GCF_030229125.2,Corynebacterium rhinophilum,NZ_CP176019.1,unknown,2532556,1.0,0.0,0.0,0.0
